City|State|Zipcode|Latitude|Longitude
Aberdeen|WA|98520|46.9771|-123.8228
Aberdeen|WA|98535|47.1128|-124.1723
Aberdeen|WA|98536|47.1115|-124.0756
Aberdeen|WA|98537|46.9530|-123.7759
Aberdeen|WA|98547|46.7978|-124.0870
Aberdeen|WA|98550|46.9811|-123.8859
Aberdeen|WA|98552|47.4063|-123.8826
Aberdeen|WA|98562|47.3328|-124.0674
Aberdeen|WA|98563|46.9827|-123.6040
Aberdeen|WA|98569|47.0091|-124.1609
Aberdeen|WA|98571|47.2091|-124.2041
Aberdeen|WA|98590|46.7073|-123.9820
Aberdeen|WA|98595|46.8860|-124.1055
Adams - Mt. Greylock|MA|01070|42.5407|-72.9737
Adams - Mt. Greylock|MA|01220|42.6214|-73.1185
Adams - Mt. Greylock|MA|01225|42.5623|-73.1581
Adams - Mt. Greylock|MA|01237|42.5069|-73.2340
Adams - Mt. Greylock|MA|01256|42.5662|-73.0324
Adams - Mt. Greylock|MA|01267|42.7131|-73.2026
Adams - Mt. Greylock|MA|01270|42.5059|-73.0618
Adams - Mt. Greylock|MA|01339|42.6276|-72.8784
Adams - Mt. Greylock|MA|01343|42.6585|-73.0045
Adams - Mt. Greylock|MA|01367|42.6910|-72.9019
Adirondacks Region|NY|12032|43.2295|-74.5171
Adirondacks Region|NY|12108|43.4531|-74.4567
Adirondacks Region|NY|12134|43.2027|-74.1115
Adirondacks Region|NY|12139|43.4032|-74.5363
Adirondacks Region|NY|12164|43.4904|-74.3743
Adirondacks Region|NY|12190|43.3998|-74.2878
Adirondacks Region|NY|12801|43.3137|-73.6463
Adirondacks Region|NY|12810|43.4689|-73.8986
Adirondacks Region|NY|12812|43.8536|-74.4354
Adirondacks Region|NY|12814|43.5598|-73.6583
Adirondacks Region|NY|12815|43.6730|-73.7578
Adirondacks Region|NY|12824|43.4922|-73.6804
Adirondacks Region|NY|12817|43.5930|-73.7926
Adirondacks Region|NY|12836|43.7349|-73.5025
Adirondacks Region|NY|12901|44.6979|-73.4552
Adirondacks Region|NY|12903|44.6873|-73.4458
Adirondacks Region|NY|12910|44.8882|-73.6528
Adirondacks Region|NY|12911|44.5222|-73.4650
Adirondacks Region|NY|12912|44.5317|-73.9670
Adirondacks Region|NY|12913|44.4070|-74.0911
Adirondacks Region|NY|12914|44.9430|-74.6531
Adirondacks Region|NY|12916|44.8303|-74.5151
Adirondacks Region|NY|12917|44.9045|-74.1672
Adirondacks Region|NY|12918|44.6975|-73.6271
Adirondacks Region|NY|12919|44.9844|-73.4492
Adirondacks Region|NY|12920|44.9252|-74.0762
Adirondacks Region|NY|12921|44.8875|-73.4376
Adirondacks Region|NY|12922|44.2878|-74.6761
Adirondacks Region|NY|12923|44.9621|-73.9462
Adirondacks Region|NY|12924|44.4703|-73.5922
Adirondacks Region|NY|12926|44.9233|-74.2937
Adirondacks Region|NY|12928|43.9584|-73.4304
Adirondacks Region|NY|12930|44.7176|-74.5542
Adirondacks Region|NY|12932|44.2192|-73.5868
Adirondacks Region|NY|12934|44.8647|-73.8928
Adirondacks Region|NY|12935|44.9064|-73.7963
Adirondacks Region|NY|12936|44.2897|-73.3506
Adirondacks Region|NY|12937|44.9908|-74.4979
Adirondacks Region|NY|12941|44.4303|-73.7396
Adirondacks Region|NY|12942|44.2547|-73.7907
Adirondacks Region|NY|12943|44.1840|-73.7856
Adirondacks Region|NY|12944|44.5018|-73.4770
Adirondacks Region|NY|12945|44.3502|-74.2736
Adirondacks Region|NY|12946|44.2839|-73.9845
Adirondacks Region|NY|12949|44.7713|-74.6550
Adirondacks Region|NY|12950|44.2842|-73.5636
Adirondacks Region|NY|12952|44.7340|-73.9550
Adirondacks Region|NY|12953|44.8514|-74.2931
Adirondacks Region|NY|12955|44.7698|-73.9585
Adirondacks Region|NY|12956|44.0889|-73.5204
Adirondacks Region|NY|12957|44.8183|-74.5563
Adirondacks Region|NY|12958|44.9619|-73.5823
Adirondacks Region|NY|12959|44.9568|-73.6407
